name,Date,Lived here...,Famous_for,Address,Hear the story,latitude,longitude,DIID,Parklane,Belgravia,
CONS; Emma,(1837-1912),Philanthropist and Founder of the Old Vic; lived here. Address: 136 Seymour Place; W1,,,,51.514435,-0.160242,,N,N,
CONSTABLE; John,(1776-1837),Painter; lived here. Address: 40 Well Walk; NW3,,,,51.558984,-0.173538,,N,N,
COOK; Captain James,(1728-1779),Circumnavigator and Explorer; lived in a house on this site. Address: 88 Mile End Road; E1,,,,51.520807,-0.051296,,N,N,
COPEMAN; Sydney Monckton,(1862-1947),Immunologist and Developer of smallpox vaccine; lived here. Address: 57 Redcliffe Gardens; SW10,,,,51.486436,-0.187281,,N,N,
COSTA; Sir Michael,(1808-1883),Conductor and Orchestra Reformer; lived here 1857-1883  Address: Wilton Court; 59 Eccleston Square; SW1V,,,,51.492111,-0.143478,,N,N,
COUNTY HALL,(XXXX),The home of London Government from 1922 to 1986; LCC 1889-1965; GLC 1965-1986. Address: Main Entrance; County Hall; SE1,,,,51.497866,-0.118841,,N,N,
COWARD; Charles,(1905-1976),"Rescuer of Jews from Auschwitz lived here 1945-1976. "" Address: 133 Chichester Road; N9",,,,51.628095,-0.073667,,N,N,
COWARD; Sir No$l,(1899-1973),Actor; Playwright and Songwriter; born here.  Address: 131 Waldegrave Road; Teddington,,,,51.430411,-0.336959,,N,N,
COX; David,(1783-1859),Artist; lived here.  Address: 34 Foxley Road; SW9,,,,51.47911,-0.107644,,N,N,
CRANE; Walter,(1845-1915),Artist; lived here.  Address: 13 Holland Street; W8,,,,51.503153,-0.192391,,N,N,
CREED; Frederick George,(1871-1957),Electrical Engineer; Inventor of the Teleprinter; lived and died here.  Address: 20 Outram Road; Addiscombe,,,,51.375603,-0.076476,,N,N,
CRIBB; Tom,(1781-1848),Bare Knuckle Boxing Champion; lived here  Address: 36 Panton Street; SW1,,,,51.509533,-0.131724,,N,N,
CRIPPS; Sir Stafford,(1899-1952),Statesman; born here.  Address: 32 Elm Park Gardens; SW10,,,,51.487887,-0.176026,,N,N,
CROMPTON; Colonel R. E. B.,(1845-1940),Electrical Engineer lived an d worked here 1891-1939.  Address: 48 Kensington Court; Kensington; W8,,,,51.50175,-0.188712,,N,N,
CROOKES; Sir William,(1832-1919),Scientist; lived here from 1880 until his death.  Address: 7 Kensington Park Gardens; W11,,,,51.51159,-0.202495,,N,N,
CRUIKSHANK; George,(1792-1878),Artist; lived here from 1850 to 1878. Address: 263 Hampstead Road; NW1,,,,51.532428,-0.139358,,N,N,
CUBITT; Thomas,(1788-1855),Master Builder; lived here.  Address: 3 Lyall Street; SW1,,,,51.495434,-0.153657,,N,N,
CURZON; George Nathaniel; Marquess Curzon of Kedleston,(1859-1925),Statesman; Viceroy of India; lived here.  Address: 1 Carlton House Terrace; SW1,,,,51.506444,-0.131697,,N,N,
DADD; Richard,(1817-1886),Painter; lived here. Address: 15 Suffolk Street; SW1,,,,51.507981,-0.130312,,N,N,
DALE; Sir Henry,(1875-1968),Physiologist; lived here. Address: Mount Vernon House; Mount Vernon; Hampstead; NW3,,,,51.553015,-0.163253,,N,N,
DANCE; George; the younger,(1741-1825),Architect; lived and died here. Address: 91 Gower Street; WC1,,,,51.519749,-0.129669,,N,N,
DANIELL; Thomas,(1749-1840),Topographical Artist; lived here. Address: 14 Earls Terrace; Kensington; W8,,,,51.498165,-0.198078,,N,N,
DANIELL; William,(1769-1837),Artist and Engraver of Indian scenes; lived and died here. Address: 135 St Pancras Way; NW1,,,,51.542334,-0.136626,,N,N,
DARWIN; Charles,(1809-1882),"Naturalist; lived in a house on this site 1838-1842. Address: Biological Sciences Building; University College; (site of 110), Gower Street; WC1",,,,51.523473,-0.134391,,N,N,
DAVIES; Emily,(1830-1921),Founder of Girton College; Cambridge; lived here. Address: 17 Cunningham Place; St John's Wood; NW8,,,,51.526344,-0.175242,,N,N,
DAY-LEWIS; C.,(1904-1972),Poet Laureate; lived here 1957-1972. Address: 6 Crooms Hill; SE10,,,,51.479436,-0.008136,,N,N,
DE GAULLE; General Charles,(XXXX),President of the French National Committee; set up the Headquarters of the Free French Forces here in 1940. Address: 4 Carlton Gardens; SW1,,,,51.505602,-0.134106,,N,N,
DE HAVILLAND; Sir Geoffrey,(1882-1965),Aircraft designer; lived here 1909-1910 Address: 32 Baron's Court Road; W14,,,,51.489765,-0.208971,,N,N,
DE LA MARE; Walter,(1873-1956),Poet; lived here 1940-1956. Address: South End House; Montpelier Row; Twickenham,,,,51.458077,-0.324475,,N,N,
DE MIRANDA; Francisco,(1750-1816),Precursor of Latin American Independence; lived here 1802-1810. Address: 58 Grafton Way; W1,,,,51.523456,-0.137845,,N,N,
DE MORGAN; William,(1839-1917),"Ceramic Artist and Novelist; and his wife; Evelyn DE MORGAN (1855-1919), Artist; lived and died here. Address: 127 Old Church Street; SW3",,,,51.487331,-0.174046,,N,N,
DE QUINCEY; Thomas,(1785-1859),Thomas; de Quincy; 1785-1859;wrote; 'Confessions of an; English Opium Eater'; in this house Address: 36 Tavistock Street; WC2,,,,51.513219,-0.119265,,N,N,
DE VALOIS; Dame Ninette,(1898-2001),O.M.; Founder of the; Royal Ballet lived here; 1962-1982 Address: 14 The Terrace; Barnes; SW13,,,,51.472624,-0.252692,,N,N,
DEFOE; Daniel,(1661-1731),Novelist; lived in a house on this site. Address: 95 Stoke Newington Church Street; N16,,,,51.562175,-0.078943,,N,N,
DELIUS; Frederick,(1862-1934),Composer; lived here 1918-1919. Address: 44 Belsize Park Gardens; NW3,,,,51.547206,-0.165826,,N,N,
DEVANT; David,(1868-1941),Magician lived here Address: Flat 1 Ornan Court; Ornan Road; NW3,,,,51.551935,-0.167031,,N,N,
DEVINE; George,(1910-1966),Actor; Artistic Director of the Royal Court Theatre 1956-1965; lived here. Address: 9 Lower Mall; Hammersmith; W6,,,,51.490365,-0.238354,,N,N,
DICKENS; Charles,(1812-1870),Novelist; lived here. Address: 48 Doughty Street; WC1,,,,51.523597,-0.116561,,N,N,
DICKINSON; Goldsworthy Lowes,(XXXX),this was the London home of Goldsworthy Lowes Dickinson; Author and Humanist. He was born 1862 and died 1932. Address: 11 Edwardes Square; W8,,,,51.497728,-0.199692,,N,N,
DILKE; Sir Charles Wentworth,(1843-1911),Statesman and Author; lived here. Address: 76 Sloane Street; SW1,,,,51.492777,-0.157757,,N,N,
"NIGHTINGALE, Florence",(1820-1910),,"English social reformer, statistician and the founder of modern nursing.","10 South Street, W1",https://www.youtube.com/watch?v=GkefFyRY-A0,51.50813,-0.152891,Park Lane,Y,N,
DISRAELI; Benjamin; Earl of Beaconsfield,(1804-1881),Statesman; born here 1804. Address: 22 Theobalds Road; WC1,,,,51.518978,-0.121052,,N,N,
DISRAELI; Benjamin; Earl of Beaconsfield,(1804-1881),Statesman; died here. Address: 19 Curzon Street; W1,,,,51.506364,-0.150525,,N,N,
DOBSON; Austin,(1840-1921),Poet and Essayist; lived here. Address: 10 Redcliffe Street; SW10,,,,51.486251,-0.188369,,N,N,
DOBSON; Frank,(1886-1963),Sculptor; lived here. Address: 14 Harley Gardens; SW10,,,,51.487269,-0.180757,,N,N,
DONAT; Robert,(1905-1958),Actor; lived here. Address: 8 Meadway; Hampstead Garden Suburb; NW11,,,,51.578408,-0.190302,,N,N,
DOUGLAS; Norman,(1868-1952),Writer; lived here. Address: 63 Albany Mansions; Albert Bridge Road; SW11,,,,51.466274,-0.174497,,N,N,
DOWDING; Lord; Air Chief Marshall;,(1882-1970),Leader of Fighter Command; lived here 1941-1951. Address: 3 St Mary's Road; Wimbledon; SW19,,,,51.424211,-0.208428,,N,N,
DRYDEN; John,(1631-1700),Poet; lived here. Address: 43 Gerrard Street; W1,,,,51.512011,-0.130474,,N,N,
DRYSDALE; Dr Charles Vickery,(1874-1961),a founder of the Family Planning Association; opened his first birth control clinic here in 1921. Address: 153a East Street; Walworth; SE17,,,,51.489512,-0.089276,,N,N,
DU MAURIER; George,(1834-1896),Artist and writer; lived here; 1863-1868 Address: 91 Great Russell Street; WC1,,,,51.51929,-0.123586,,N,N,
DU MAURIER; George,(1834-1896),Lived here; 1874 to 1895. Address: New Grove House; 28 Hampstead Grove; NW3,,,,51.558256,-0.176322,,N,N,
DU MAURIER; Sir Gerald,(1873-1934),Actor Manager; lived here from 1916 until his death. Address: Cannon Hall; 14 Cannon Place; NW3,,,,51.560318,-0.17517,,N,N,
DUKE-ELDER; Sir Stewart,(1898-1978),Ophthalmologist; lived and worked here; 1934-1976 Address: 63 Harley Street; W1,,,,51.519254,-0.147127,,N,N,
DYSON; Sir Frank,(1868-1939),Astronomer Royal; lived here 1894-1906. Address: 6 Vanbrugh Hill; Blackheath; SE3,,,,51.480233,0.008221,,N,N,
EARNSHAW; Thomas,(1749-1829),Site of the business premises of Thomas Earnshaw noted Watch and Chronometer Maker. Address: 119 High Holborn; WC1,,,,51.51615,-0.124747,,N,N,
EASTLAKE; Charles,(1793-1865),Painter and First Director of the National Gallery; lived here. Address: 7 Fitzroy Square; W1,,,,51.52275,-0.140525,,N,N,
EDDINGTON; Sir Arthur; OM,(1882-1944),Mathematician and Astrophysicist; lived here. Address: 4 Bennett Park; Blackheath; SE3,,,,51.4654,0.009363,,N,N,
EDWARDS; John Passmore,(1823-1911),Journalist; editor and builder of free public libraries; lived here. Address: 51 Netherhall Gardens; NW3,,,,51.551705,-0.178044,,N,N,
ELDON; John Scott; Lord,(1751-1838),Lord Chancellor; lived here. Address: 6 Bedford Square; WC1,,,,51.519444,-0.12341,,N,N,
ELEN; Gus,(1862-1940),Music Hall Comedian; lived here. Address: 3 Thurleigh Avenue; Balham; SW12,,,,51.453179,-0.154233,,N,N,
ELGAR; Sir Edward,(1857-1934),Composer; lived here 1890-1891. Address: 51 Avonmore Road; W14,,,,51.494185,-0.205673,,N,N,
ELLIOT; George (Mary Ann Cross; nee Evans),(1819-1880),,Novelist,4 Cheyne Walk; SW3,https://ndiid.com/Dfl4wzongLrVeU0HQVnNYYe2W6gwfxKvJoX0-vd7Q9o,51.484015,-0.164448,"Chelsea, Between the Bridges",N,N,
ELLIOT; George Mary Ann Cross,(1819-1880),Novelist; lived here. Address: Holly Lodge; 31 Wimbledon Park Road; SW18,,,,51.451926,-0.201443,,N,N,
ELLIOT; T.S.; OM,(1888-1965),Poet; lived and died here. Address: 3 Kensington Court Gardens; W8,,,,51.499571,-0.188065,,N,N,
ELLIS; Henry Havelock,(1859-1939),Pioneer in the scientific study of sex; lived here. Address: 14 Dover Mansions; Canterbury Crescent; SW9,,,,51.468978,-0.109914,,N,N,
ENGELS; Friedrich,(1820-1895),Political Philosopher; lived here 1870-1894. Address: 122 Regent's Park Road; NW1,,,,51.540492,-0.157538,,N,N,
ESSEX STREET ,(XXXX),"was laid out in the grounds of Essex House by Nicholas BARBON in 1675. Among many famous lawyers who lived here were Sir Orlando BRIDGEMAN (c.1606-1674),  Lord Keeper; Henry FIELDING (1707-1754),  Novelist; Brass CROSBY        (1725-1793),  Lord Mayor of London. James SAVAGE        (1779-1852),  Architect; had his office here.
(XXXX),  Prince CHARLES EDWARD STUART stayed at a house in the street in 1750. Rev. Theophilus LINDSEY        (1723-1808),  Unitarian Minister; founded Essex Street Chapel here in 1774. Dr Samuel JOHNSON established an evening club at the 'Essex Head' in 1783. Address: Essex Hall; Essex Street; WC2",,,,51.512271,-0.112531,,N,N,
EVANS; Dame Edith,(1888-1976),Actress; lived here. Address: 109 Ebury Street; Victoria; SW1,,,,51.490104,-0.148248,,N,N,
EWART; William,(1798-1869),Reformer; lived here. Address: 16 Eaton Place; SW1,,,,51.493614,-0.153019,,N,N,
FABIAN SOCIETY; ,(XXXX),the site of 17 Osnaburgh Street where the FABIAN SOCIETY was founded in 1884. Address: The White House; Osnaburgh Street; NW1,,,,51.528047,-0.155747,,N,N,
FARADAY; Michael;,(XXXX),Man of Science; apprentice here; b.1791; d.1867. Address: 48 Blandford Street; W1,,,,51.5184,-0.154124,,N,N,
FAWCETT; Dame Millicent Garrett,(1847-1929),Pioneer of Women's Suffrage; lived and died here. Address: 2 Gower Street; WC1,,,,51.519749,-0.129669,,N,N,
FENTON; Roger,(1819-1869),Photographer; lived here. Address: 2 Albert Terrace; Primrose Hill; NW1,,,,51.537514,-0.154715,,N,N,
FENWICK; Ethel Gordon,(1857-1947),Nursing Reformer; lived here 1887-1924. Address: 20 Upper Wimpole Street; W1,,,,51.520857,-0.149488,,N,N,
FERRIER; Kathleen,(1912-1953),Contralto; lived here. Address: 97 Frognal; Hampstead; NW3,,,,51.557478,-0.181957,,N,N,
FIELDING; Henry,(1707-1754),Novelist; lived here. Address: Milbourne House; Barnes Green; SW13,,,,51.480597,-0.243715,,N,N,
FILDES; Sir Luke,(1844-1927),Artist; lived here 1878-1927. Address: 31 Melbury Road; W14,,,,51.499487,-0.202256,,N,N,
FIRST; Ruth,(1925-1982),"SLOVO; Joe (1926-1995), South African Freedom Fighters lived here 1966-1978 Address: 13 Lyme Street; NW1",,,,51.540387,-0.138631,,N,N,
FISHER; Admiral of the Fleet; Lord; OM,(1841-1920),"lived here as First Sea Lord 1904-1910."" Address: 16 Queen Anne's Gate; SW1",,,,51.500534,-0.133293,,N,N,
FISHER; Sir Ronald Aylmer,(1890-1962),Statistician and Geneticist; lived here; 1896-1904 Address: Inverforth House; North End Way; NW3,,,,51.553015,-0.163253,,N,N,
FITZROY; Admiral Robert,(1805-1865),Hydrographer and Meteorologist; lived here. Address: 38 Onslow Square; SW7,,,,51.491728,-0.173929,,N,N,
FLANAGAN; Bud,(1896-1968),Comedian and Leader of the 'Crazy Gang'; born here. Address: 12 Hanbury Street; E1,,,,51.520293,-0.073646,,N,N,
FLAXMAN; John,(1755-1826),Sculptor; lived and died here. Address: 7 Greenwell Street; W1,,,,51.523017,-0.142252,,N,N,
FLECKER; James Elroy,(1884-1915),Poet and Dramatist; was born here. Address: 9 Gilmore Road; SE13,,,,51.461089,-0.007758,,N,N,
"PALMERSTON, Lord",(1784-1865),,Prime Minister and Foreign Secretary,"Naval and Military Club, 94 Piccadilly, W1",,51.505573,-0.145241,Park Lane,Y,N,
FLEMING; Sir Alexander,(1881-1955),Discoverer of penicillin; lived here. Address: 20a Danvers Street; SW3,,,,51.48331,-0.17291,,N,N,
FLEMING; Sir Ambrose,(1849-1945),Scientist and Electrical Engineer; lived here. Address: 9 Clifton Gardens; Maida Vale; W9,,,,51.52385,-0.183081,,N,N,
FLINDERS; Captain Matthew; RN,(1774-1814),Explorer and Navigator; lived here. Address: 56 Fitzroy Street; W1,,,,51.523817,-0.140257,,N,N,
FLYING BOMB,(XXXX),the first Flying Bomb on London fell here; 13 June 1944. Address: Railway Bridge; Grove Road; Bow; E3,,,,51.521575,-0.027874,,N,N,
FONTANE; Theodor,(1819-1898),German Writer and Novelist; lived here 1857-1858 Address: 6 St Augustine$s Road; NW1,,,,51.543172,-0.131624,,N,N,
FORD; Ford Madox,(1873-1939),Novelist and Critic; lived here. Address: 80 Campden Hill Road; W8,,,,51.504122,-0.197468,,N,N,
FORESTER; C.S.,(1899-1966),Novelist; lived here. Address: 58 Underhill Road; Dulwich; SE22,,,,51.445618,-0.065519,,N,N,
FORSTER; E.M.,(1879-1970),Novelist; lived here. Address: Arlington Park Mansions; Sutton Lane; Turnham Green; W4,,,,51.496309,-0.267421,,N,N,
FORTUNE; Robert,(1812-1880),Plant Collector; lived here 1857-1880. Address: 9 Gilston Road; SW10,,,,51.486938,-0.181284,,N,N,
FOSCOLO; Ugo,(1778-1827),Italian Poet and Patriot; lived here 1817-1818. Address: 19 Edwardes Square; Kensington; W8,,,,51.497401,-0.199461,,N,N,
FOX; Charles James,(1749-1806),Statesman; lived here. Address: 46 Clarges Street; W1,,,,51.506224,-0.144184,,N,N,
FRAMPTON; George,(1860-1928),Sculptor; lived and worked here 1894-1908. Address: 32 Queen's Grove; St John's Wood; NW8,,,,51.52882,-0.171647,,N,N,
FRANKLIN; Benjamin,(1706-1790),American Statesman and Scientist; lived here. Address: 36 Craven Street; WC2,,,,51.507566,-0.125025,,N,N,
FRANKLIN; Rosalind,(1920-1958),Pioneer of the study of molecular structures including DNA lived here 1951-1958. Address: Donovan Court; Drayton Gardens; Fulham; SW10,,,,51.487269,-0.18639,,N,N,
FREAKE; Sir Charles James,(1814-1884),Builder and Patron of the Arts; lived here. Address: 21 Cromwell Road; SW7,,,,51.495596,-0.17516,,N,N,
FREUD; Anna,(1895-1982),Pioneer of Child Psychoanalysis; lived here; 1938-1982 Address: 20 Maresfield Gardens; NW3,,,,51.548203,-0.177693,,N,N,
FREUD; Sigmund,(1856-1939),Founder of Psychoanalysis; lived here in 1938-1939. Address: 20 Maresfield Gardens; NW3,,,,51.548203,-0.177693,,N,N,
FRITH; W.P.,(1819-1909),Painter; lived and died here. Address: 114 Clifton Hill; NW8,,,,51.535083,-0.186393,,N,N,
FROUDE; James Anthony,(1818-1894),Historian and Man of Letters; lived here. Address: 5 Onslow Gardens; SW7,,,,51.492046,-0.178399,,N,N,
FRY; C. B.,(1872-1956),All-round Sportsman; was born here Address: 144 St James$s Road; Croydon; CRO,,,,51.383213,-0.100806,,N,N,
FUSELI; Henry,(1741-1825),Artist; lived here 1788-1803. Address: 37 Foley Street; W1,,,,51.519351,-0.140076,,N,N,
G.P.O. FILM UNIT ,(XXXX),later Crown Film Unit Pioneers of documentary film making had their studios here 1933-1943. Address: 47 Bennett Park; Blackheath; SE3,,,,51.465414,0.009563,,N,N,
GABOR; Dennis,(1900-1979),Physicist and; Inventor of Holography; lived here Address: 79 Queen$s Gate; SW7,,,,51.499162,-0.181126,,N,N,
GAGE; Thomas,(1721-1787),Commander of British Forces in North America; lived here. Address: 41 Portland Place; W1,,,,51.52117,-0.145515,,N,N,
GAINSBOROUGH; Thomas,(1727-1788),Artist; lived here. Address: 80 - 82 Pall Mall; SW1,,,,51.505166,-0.137694,,N,N,
GAITSKELL; Hugh,(1906-1963),Statesman; lived here. Address: 18 Frognal Gardens; Hampstead; NW3,,,,51.556032,-0.181435,,N,N,
GALSWORTHY; John,(1867-1933),Novelist and Playwright; lived here 1918-1933. Address: Grove Lodge; Admiral's Walk; NW3,,,,51.553015,-0.163253,,N,N,
GALTON; Sir Francis,(1822-1911),Explorer; Statistician; and Founder of Eugenics; lived here for fifty years. Address: 42 Rutland Gate; SW7,,,,51.49966,-0.168441,,N,N,
"GANDHI, Mahatma",(1869-1948),- stayed here in 1931,,,,51.521575,-0.027874,,N,N,
"PEEL, Sir Robert",(1750-1830),"his son Sir Robert PEEL (1788-1850),","Sir Robert Peel (Sr) was a Manufacturer and Reformer. 
His son was Prime Minister; Founder of the Metropolitan Police","16 Upper Grosvenor Street, W1",,51.510297,-0.154708,Park Lane,Y,N,
GANDHI; Mahatma,(1869-1948),"lived here as a law student."" Address: 20 Baron's Court Road; W14",,,,51.489809,-0.208449,,N,N,
GANDHI; Mahatma,(1869-1948),"stayed here in 1931"" Address: Kingsley Hall; Powis Road; E3",,,,51.521575,-0.027874,,N,N,
GANDY; Joseph Michael,(1771-1843),Architectural; Visionary; lived here; 1833-1838 Address: 58 Grove Park Terrace; London; W4,,,,51.484132,-0.273784,,N,N,
GARRETT ANDERSON; Elizabeth,(1836-1917),the first woman to qualify as a Doctor in Britain; lived here. Address: 20 Upper Berkeley Street; W1,,,,51.515453,-0.160205,,N,N,
GARRICK; David,(1717-1779),Actor; lived here. Address: Garrick's Villa; Hampton Court Road;,,,,51.426416,-0.37711,,N,N,
GARTHWAITE; Anna Maria,(1690-1763),Designer of Spitalfields Silks; lived and worked here. Address: 2 Princelet Street; Spitalfields; E1,,,,51.519786,-0.073365,,N,N,
GARVEY; Marcus,(1887-1940),Pan-Africanist Leader; lived and died here Address: 53 Talgarth Road; W14,,,,51.490445,-0.209698,,N,N,
GASKELL; Mrs,(1810-1865),Novelist; born here. Address: 93 Cheyne Walk; SW10,,,,51.48195,-0.174366,,N,N,
GERTLER; Mark,(1891-1939),Painter; lived here. Address: 32 Elder Street; E1,,,,51.52114,-0.076834,,N,N,
GIBBON; Edward,(1737-1792),Historian; lived in a house on this site 1773-1783. Address: 7 Bentinck Street; W1,,,,51.517129,-0.150111,,N,N,
GIBSON; Guy,(1918-1944),V.C.; Pilot; Leader of the; Dambusters Raid; lived here Address: 32 Aberdeen Place; St John$s Wood; NW8,,,,51.52516,-0.175822,,N,N,
GILBERT; Sir W.S. (William Schwenck),(1836-1911),Dramatist; lived here. Address: 39 Harrington Gardens; SW7,,,,51.492852,-0.184993,,N,N,
GILLIES; Sir Harold,(1882-1960),Pioneer Plastic Surgeon; lived here. Address: 71 Frognal; Hampstead; NW3,,,,51.556239,-0.182765,,N,N,
GISSING; George,(1857-1903),Novelist; lived here 1882-1884. Address: 33 Oakley Gardens; SW3,,,,51.485176,-0.167106,,N,N,
GLADSTONE; W.E.,(XXXX),"(William Ewart). In a house on this site lived from 1854 to 1875 Sir Charles LEYELL (1797-1875; Geologist; and from 1876-1882 W.E. GLADSTONE        (1809-1898), Statesman. Address: 73 Harley Street; W1",,,,51.520043,-0.147487,,N,N,
GLADSTONE; William Ewart,(1809-1898),Statesman; lived here. Address: 11 Carlton House Terrace; SW1,,,,51.506552,-0.131426,,N,N,
GLAISHER; James,(1809-1903),Astronomer; Meteorologist and Pioneer of weather forecasting; lived here. Address: 20 Dartmouth Hill; SE10,,,,51.471921,-0.0081,,N,N,
"GODFREE; Kathleen (""Kitty"") nee McKane ",(1896-1922),Lawn Tennis Champion lived here; 1936-1992 Address: 55 York Avenue; East Sheen; SW14,,,,51.460069,-0.269966,,N,N,
GODLEY; John Robert,(1814-1861),founder of Canterbury; New Zealand; lived and died here.  Address: 48 Gloucester Place; W1,,,,50.812186,-0.545602,,N,N,
GODWIN; George,(1813-1888),Architect; Journalist and Social Reformer; lived here.  Address: 24 Alexander Square; SW3,,,,51.495253,-0.169389,,N,N,
GOMME; Sir Laurence,(1853-1916),Clerk to the; London County Council; Folklorist and Historian; lived here; 1895-1909 Address: 24 Dorset Square; Marylebone; NW1,,,,51.522524,-0.161177,,N,N,
GOODALL; Frederick,(XXXX),This house; designed by SHAW; R. Norman; Architect for Frederick GOODALL; Painter; was later the home of W.S. Gilbert; Writer and Librettist. Address: Grims Dyke; Old Redding; Harrow Weald.,,,,51.61444,-0.348524,,N,N,
GOOSSENS family ,(XXXX),This was the home of the GOOSSENS family of musicians; 1912-1927 Address: 70 Edith Road; West Kensington; W14,,,,51.492368,-0.210263,,N,N,
GORT; Field Marshal Viscount; V.C.,(1886-1946),Commander-in-Chief; at Dunkirk; lived here; 1920-1926 Address: 34 Belgrave Square; SW1,,,,51.492305,-0.142299,,N,N,
GOSSE; Philip Henry ,(1810-1888),"Zoologist, lived here; and Sir Edmund GOSSE (1849-1928), Writer and Critic; born here.  Address: 56 Mortimer Road; N1",,,,51.539756,-0.079806,,N,N,
GOUNOD; Charles,(1818-1893),Composer; stayed here in 1870.  Address: 15 Morden Road; Blackheath; SE3,,,,51.468147,0.017918,,N,N,
GRACE; W.G.,(1848-1915),Cricketer; lived here.  Address: Fairmount'; Mottingham Lane; SE9,,,,51.45983,0.043921,,N,N,
GRAHAME; Kenneth,(1859-1932),Author of $The Wind in the Willows$; lived here 1901-1908.  Address: 16 Phillimore Place; W8,,,,51.501765,-0.197269,,N,N,
GRAINGER; Percy,(1882-1961),Australian Composer; Folklorist and Pianist; lived here.  Address: 31 King's Road; Chelsea; SW3,,,,51.48647,-0.171446,,N,N,
GRAVES; Robert,(1895-1985),Writer; was born here.  Address: 1 Lauriston Road; Wimbledon; SW19,,,,51.420986,-0.220954,,N,N,
GRAY; Henry,(1827-1861),Anatomist; lived here.  Address: 8 Wilton Street; SW1,,,,51.496146,-0.143216,,N,N,
GREAT EASTERN,(XXXX),"Launched 1858. Largest steamship of the century; was built here by I.K.(Isambard Kingdom), BRUNEL (1806-1859), Civil Engineer and J. (John), Scott RUSSELL        (1808-1882), Naval Architect.  Address: Burrells Wharf; 262 West Ferry Road; E14",,,,51.492291,-0.024612,,N,N,
GREATHEAD; James Henry,(1844-1896),Railway and Tunnelling Engineer; lived here 1885-1889.  Address: 3 St Mary's Grove; Barnes; SW13,,,,51.466555,-0.235843,,N,N,
GREAVES; Walter,(1846-1930),Artist; lived here 1855-1897.  Address: 104 Cheyne Walk; SW10,,,,51.481526,-0.176203,,N,N,
GREEN; John Richard,(1837-1883),Historian of the English people; lived here 1866-1869.  Address: St Philip's Vicarage; Newark Street; E1,,,,51.52157,-0.045486,,N,N,
GREEN; John Richard,(1837-1883),Historian of the English people; lived here.  Address: 4 Beaumont Street; W1,,,,51.521219,-0.150777,,N,N,
GREENAWAY; Kate,(1846-1901),Artist; lived & died here.  Address: 39 Frognal; NW3,,,,51.553258,-0.181433,,N,N,
GREET; Sir Philip Ben,(1857-1936),Actor-Manager; lived here 1920-1936.  Address: 160 Lambeth Road; SE1,,,,51.49563,-0.115014,,N,N,
GRENFELL; Joyce,(1910-1979),Entertainer and Writer lived here in flat No.8; 1957-1979.  Address: 34 Elm Park Gardens; SW10,,,,51.486755,-0.176724,,N,N,
GRESLEY; Sir Nigel,(1876-1941),"Locomotive Engineer; had his office in this station 1923-1941.  Address: West Offices; King's Cross Station (facing Great Northern Hotel), Pancras Road/ Euston Road; N1",,,,51.530321,-0.123186,,N,N,
GREY; Sir Edward; Viscount Grey of Falloden,(1862-1933),Foreign Secretary; lived here.  Address: 3 Queen Anne's Gate; SW1,,,,51.500563,-0.132913,,N,N,
GRIEG; Edvard,(1843-1907),Norwegian Composer; stayed here when performing in London Address: 47 Clapham Common North Side; SW4,,,,51.461318,-0.148846,,N,N,
GRIMALDI; Joseph,(1778-1837),Clown; lived here 1818-1828.  Address: 56 Exmouth Market; EC1,,,,51.526272,-0.108373,,N,N,
GROOM; John,(1845-1919),Philanthropist who founded workshops for disabled girls nearby; lived here.  Address: 8 Sekforde Street; Clerkenwell; EC1,,,,51.523689,-0.104681,,N,N,
GROSER; Reverend St. John,(1890-1966),Priest and Social Reformer; lived here.  Address: Royal Foundation of St Katherine; 2 Butcher Row; E14,,,,51.511097,-0.04221,,N,N,
GROSSMITH; George; Junior,(1874-1935),Actor Manager; lived here.  Address: 3 Spanish Place; W1,,,,51.517856,-0.15282,,N,N,
GROSSMITH; George; Senior,(1847-1912),Actor and Author; lived here.  Address: 28 Dorset Square; NW1,,,,51.522524,-0.161177,,N,N,
GROTE; George,(1794-1871),Historian; died here.  Address: 12 Savile Row; W1,,,,51.510855,-0.140356,,N,N,
GUIZOT; Fran$ois,(1787-1874),French Politician and Historian; lived here 1848-1849.  Address: 21 Pelham Crescent; SW7,,,,51.492304,-0.171136,,N,N,
HAGGARD; Sir Henry Rider,(1856-1925),Novelist; lived here 1885-1888. Address: 69 Gunterstone Road; W14,,,,51.491792,-0.210791,,N,N,
HALDANE; Lord,(1856-1928),Statesman; Lawyer and Philosopher; lived here. Address: 28 Queen Anne's Gate; SW1,,,,51.500525,-0.133405,,N,N,
HALL; Henry,(1898-1989),Dance Band Leader and Broadcaster; lived here 1932-1959 Address: 38 Harman Drive; Cricklewood; NW2,,,,51.558925,-0.205812,,N,N,
HALL; Radclyffe,(1880-1943),Novelist and Poet; lived here 1924-1929 Address: 37 Holland Street; Kensington; W8,,,,51.502943,-0.193359,,N,N,
HALLAM; Henry,(1777-1859),Historian; lived here Address: 67 Wimpole Street; W1,,,,51.517359,-0.147901,,N,N,
HAMMOND; J.L. and Barbara,(XXXX),Social Historians; lived here 1906-1913. Address: 'Hollycot'; Vale of Health; Hampstead; NW3,,,,51.553015,-0.163253,,N,N,
HANDEL; George Frederick,(1685-1759),Musician; lived and died here. Address: 25 Brook Street; W1,,,,51.513142,-0.145995,,N,N,
